29818,2,1,1,Churn
29715,1,1,1,Churn
29722,1,1,1,Churn
30117,2,1,1,Churn
29614,2,1,1,Churn
29639,1,1,1,Churn
29701,1,1,1,Churn
29617,2,1,1,Churn
29994,2,1,1,Churn
29646,2,1,1,Churn
29580,2,1,1,Churn
29827,2,1,1,Churn
29497,2,1,1,Churn
29716,2,1,1,Churn
29913,2,1,1,Churn
30103,2,1,1,Churn
29957,1,1,1,Churn
29523,2,1,1,Churn
29616,2,1,1,Churn
30048,2,1,1,Churn
29562,4,1,1,Potential
29772,2,1,1,Churn
29712,2,1,1,Churn
30107,2,1,1,Churn
29924,2,1,1,Churn
30050,1,1,1,Churn
29641,2,1,1,Churn
29966,1,1,1,Churn
29997,2,1,1,Churn
29689,2,1,1,Churn
29486,1,1,1,Churn
29522,2,1,1,Churn
29705,2,1,1,Churn
30112,2,1,1,Churn
29546,1,1,1,Churn
30000,2,1,1,Churn
30074,4,1,1,Potential
29919,2,1,1,Churn
29507,4,1,1,Potential
29770,1,1,1,Churn
29559,1,1,1,Churn
29923,2,1,1,Churn
29624,4,1,1,Potential
29992,2,1,1,Churn
29901,2,1,1,Churn
29834,1,1,1,Churn
29825,2,1,1,Churn
30046,1,1,1,Churn
29690,1,1,1,Churn
29707,1,1,1,Churn
29734,2,1,1,Churn
29703,4,1,1,Potential
30049,1,1,1,Churn
29861,4,1,1,Potential
29844,2,1,1,Churn
29744,2,1,1,Churn
29950,1,1,1,Churn
29702,1,1,1,Churn
29888,2,1,1,Churn
29724,2,1,1,Churn
29940,2,1,1,Churn
29651,1,1,1,Churn
30067,2,1,1,Churn
29885,4,1,1,Potential
29714,1,1,1,Churn
29489,2,1,1,Churn
29955,2,1,1,Churn
29938,1,1,1,Churn
29637,1,1,1,Churn
29594,4,1,1,Potential
29987,2,1,1,Churn
29647,2,1,1,Churn
29998,4,1,1,Potential
29587,2,1,1,Churn
29929,1,1,1,Churn
29629,1,1,1,Churn
30094,2,1,1,Churn
29995,2,1,1,Churn
30109,2,1,1,Churn
29704,2,1,1,Churn
29692,2,1,1,Churn
29736,1,1,1,Churn
30043,1,1,1,Churn
29895,2,1,1,Churn
29560,2,1,1,Churn
29853,4,1,1,Potential
29618,2,1,1,Churn
29783,2,1,1,Churn
29615,2,1,1,Churn
29904,2,1,1,Churn
29509,2,1,1,Churn
29792,2,1,1,Churn
29956,1,1,1,Churn
29896,2,1,1,Churn
29658,2,1,1,Churn
29910,2,1,1,Churn
29698,2,1,1,Churn
